Adana ADNTOCDELLOSS01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-09 12:00:00;0,33;1,19;0,18;84;508;10;0.718;0.107;0.611;%1.0
2025-10-09 13:00:00;0,33;1,17;0,18;86;507;10;0.723;0.110;0.613;%1.0
2025-10-09 14:00:00;0,33;1,1;0,18;83;462;10;0.735;0.120;0.616;%1.0
2025-10-09 15:00:00;0,33;1,13;0,18;86;485;11;0.729;0.115;0.614;%1.0
2025-10-09 16:00:00;0,33;1,17;0,18;85;502;10;0.718;0.110;0.608;%1.0
2025-10-09 17:00:00;0,33;1,16;0,18;85;505;10;0.719;0.110;0.609;%1.0
2025-10-09 18:00:00;0,33;1,17;0,18;85;503;10;0.720;0.110;0.610;%1.0
2025-10-09 19:00:00;0,33;1,17;0,18;84;503;10;0.720;0.109;0.611;%1.0
2025-10-09 20:00:00;0,33;1,16;0,18;85;506;10;0.723;0.110;0.613;%1.0
2025-10-09 21:00:00;0,33;1,16;0,18;86;507;10;0.721;0.110;0.611;%1.0
2025-10-09 22:00:00;0,33;1,18;0,18;85;505;10;0.715;0.108;0.607;%1.0
2025-10-09 23:00:00;0,33;1,17;0,18;85;504;10;0.721;0.110;0.611;%5.0
2025-10-10 00:00:00;0,33;1,16;0,18;86;503;10;0.726;0.111;0.614;%1.0
2025-10-10 01:00:00;0,33;1,17;0,18;85;503;10;0.723;0.111;0.612;%1.0
2025-10-10 02:00:00;0,33;1,15;0,18;85;491;10;0.727;0.113;0.614;%1.0
2025-10-10 03:00:00;0,33;1,01;0,18;84;418;10;0.745;0.136;0.609;%1.0
2025-10-10 04:00:00;0,34;1,15;0,18;86;490;10;0.716;0.114;0.602;%4.0
2025-10-10 05:00:00;0,33;1,13;0,18;84;478;10;0.723;0.115;0.608;%1.0
2025-10-10 06:00:00;0,33;1,15;0,18;85;489;10;0.722;0.113;0.609;%1.0
2025-10-10 07:00:00;0,37;0,61;0,18;97;213;10;1.072;0.458;0.614;%2.0
2025-10-10 08:00:00;0,33;1,14;0,18;85;486;10;0.724;0.114;0.610;%1.0
2025-10-10 09:00:00;0,33;1,17;0,18;85;504;10;0.720;0.110;0.610;%1.0
2025-10-10 10:00:00;0,33;1,16;0,18;86;505;10;0.714;0.109;0.605;%1.0
2025-10-10 11:00:00;0,33;1,16;0,18;85;507;10;0.721;0.110;0.611;%1.0
2025-10-10 12:00:00;0,33;1,16;0,18;85;506;10;0.723;0.110;0.613;%1.0
2025-10-10 13:00:00;0,33;1,16;0,18;86;506;10;0.721;0.110;0.611;%1.0
2025-10-10 14:00:00;0,33;1,09;0,18;83;463;10;0.736;0.119;0.617;%1.0
2025-10-10 15:00:00;0,33;1,16;0,18;85;498;10;0.724;0.111;0.613;%1.0
2025-10-10 16:00:00;0,33;1,18;0,18;85;502;10;0.714;0.110;0.605;%1.0
2025-10-10 17:00:00;0,33;1,14;0,18;86;490;10;0.720;0.114;0.606;%1.0
2025-10-10 18:00:00;0,34;1,17;0,19;85;500;10;0.724;0.112;0.613;%5.0
2025-10-10 19:00:00;0,33;1,17;0,18;85;507;10;0.720;0.110;0.610;%1.0
2025-10-10 20:00:00;0,33;1,16;0,18;85;504;10;0.723;0.110;0.613;%1.0
2025-10-10 21:00:00;0,33;1,17;0,18;86;507;10;0.721;0.110;0.610;%1.0
2025-10-10 22:00:00;0,33;1,17;0,18;87;508;10;0.710;0.110;0.600;%1.0
2025-10-10 23:00:00;0,34;1,16;0,18;85;496;10;0.714;0.111;0.603;%5.0
2025-10-11 00:00:00;0,33;1,16;0,18;86;504;10;0.717;0.111;0.606;%1.0
2025-10-11 01:00:00;0,33;1,17;0,18;86;503;10;0.718;0.110;0.608;%1.0
2025-10-11 02:00:00;0,33;1,17;0,18;85;501;10;0.726;0.111;0.615;%1.0
2025-10-11 03:00:00;0,33;1;0,18;84;413;10;0.749;0.137;0.612;%1.0
2025-10-11 04:00:00;0,33;1,14;0,18;86;489;10;0.719;0.114;0.605;%1.0
2025-10-11 05:00:00;0,33;1,14;0,18;85;488;10;0.726;0.115;0.611;%1.0
2025-10-11 06:00:00;0,33;1,13;0,18;85;481;10;0.727;0.116;0.611;%1.0
2025-10-11 07:00:00;0,37;0,62;0,18;98;218;10;1.055;0.445;0.610;%2.0
2025-10-11 08:00:00;0,33;1,17;0,18;86;507;10;0.720;0.110;0.610;%1.0
2025-10-11 09:00:00;0,33;1,18;0,18;86;510;10;0.718;0.109;0.609;%1.0
2025-10-11 10:00:00;0,33;1,15;0,18;85;489;10;0.718;0.113;0.605;%1.0
2025-10-11 11:00:00;0,33;1,11;0,18;84;466;10;0.727;0.119;0.608;%1.0
2025-10-11 12:00:00;0,33;1,17;0,18;86;505;10;0.719;0.110;0.609;%2.0
2025-10-11 13:00:00;0,33;1,18;0,18;86;508;10;0.719;0.110;0.609;%4.0
2025-10-11 14:00:00;0,33;1,12;0,18;84;472;10;0.730;0.117;0.613;%1.0
2025-10-11 15:00:00;0,33;1,18;0,18;85;506;10;0.718;0.109;0.609;%1.0
2025-10-11 16:00:00;0,33;1,17;0,18;86;505;10;0.714;0.110;0.605;%1.0
2025-10-11 17:00:00;0,33;1,15;0,18;85;494;10;0.722;0.113;0.609;%3.0
2025-10-11 18:00:00;0,34;1,17;0,19;86;506;10;0.717;0.110;0.607;%3.0
2025-10-11 19:00:00;0,33;1,18;0,18;85;504;10;0.716;0.109;0.608;%1.0
2025-10-11 20:00:00;0,33;1,17;0,18;85;505;10;0.722;0.109;0.612;%1.0
2025-10-11 21:00:00;0,33;1,17;0,18;86;508;10;0.718;0.110;0.608;%1.0
2025-10-11 22:00:00;0,33;1,15;0,18;86;500;10;0.717;0.111;0.605;%1.0
2025-10-11 23:00:00;0,33;1,15;0,18;85;497;10;0.721;0.112;0.609;%1.0
2025-10-12 00:00:00;0,33;1,17;0,18;86;504;10;0.722;0.111;0.611;%1.0
2025-10-12 01:00:00;0,33;1,16;0,18;86;506;10;0.719;0.110;0.609;%1.0
2025-10-12 02:00:00;0,33;1,15;0,18;84;493;10;0.725;0.112;0.613;%1.0
2025-10-12 03:00:00;0,33;1,01;0,18;84;416;10;0.746;0.136;0.610;%1.0
2025-10-12 04:00:00;0,33;1,13;0,18;86;486;10;0.719;0.115;0.604;%1.0
2025-10-12 05:00:00;0,34;1,14;0,18;85;484;10;0.722;0.115;0.607;%5.0
2025-10-12 06:00:00;0,33;1,15;0,18;85;491;10;0.721;0.114;0.607;%1.0
2025-10-12 07:00:00;0,37;0,62;0,18;98;217;10;1.055;0.448;0.607;%2.0
2025-10-12 08:00:00;0,33;1,17;0,18;86;505;10;0.718;0.110;0.608;%1.0
2025-10-12 09:00:00;0,33;1,07;0,18;85;452;10;0.734;0.124;0.610;%1.0
2025-10-12 10:00:00;0,34;1,17;0,18;86;506;10;0.713;0.109;0.604;%5.0
2025-10-12 11:00:00;0,33;1,16;0,18;86;505;10;0.718;0.110;0.607;%1.0
2025-10-12 12:00:00;0,33;1,15;0,18;85;494;10;0.724;0.113;0.611;%1.0
2025-10-12 13:00:00;0,33;1,17;0,18;86;505;10;0.719;0.110;0.609;%1.0
2025-10-12 14:00:00;0,33;1,12;0,18;83;471;10;0.728;0.116;0.612;%1.0
2025-10-12 15:00:00;0,33;1,18;0,18;84;504;10;0.718;0.108;0.610;%1.0
2025-10-12 16:00:00;0,33;1,17;0,18;85;504;10;0.715;0.110;0.606;%1.0
2025-10-12 17:00:00;0,33;1,16;0,18;86;504;10;0.718;0.111;0.608;%1.0
2025-10-12 18:00:00;0,33;1,17;0,18;85;505;10;0.721;0.109;0.612;%1.0
2025-10-12 19:00:00;0,33;1,17;0,18;85;504;10;0.721;0.110;0.611;%1.0
2025-10-12 20:00:00;0,33;1,17;0,18;85;505;10;0.722;0.111;0.611;%1.0
2025-10-12 21:00:00;0,33;1,17;0,18;86;504;10;0.719;0.110;0.609;%1.0
2025-10-12 22:00:00;0,33;1,18;0,18;86;507;10;0.712;0.110;0.602;%1.0
2025-10-12 23:00:00;0,34;1,17;0,18;87;505;10;0.713;0.111;0.603;%5.0
2025-10-13 00:00:00;0,33;1,16;0,18;86;502;10;0.719;0.112;0.607;%1.0
2025-10-13 01:00:00;0,33;1,12;0,18;85;478;10;0.729;0.117;0.612;%1.0
2025-10-13 02:00:00;0,33;1,16;0,18;84;496;10;0.728;0.111;0.617;%1.0
2025-10-13 03:00:00;0,33;1;0,18;83;413;10;0.748;0.136;0.612;%1.0
2025-10-13 04:00:00;0,33;1,12;0,18;85;477;10;0.723;0.117;0.606;%5.0
2025-10-13 05:00:00;0,33;1,15;0,18;84;486;10;0.721;0.112;0.609;%1.0
2025-10-13 06:00:00;0,33;1,15;0,18;85;491;10;0.724;0.113;0.611;%1.0
2025-10-13 07:00:00;0,37;0,63;0,18;98;218;10;1.058;0.446;0.612;%2.0
2025-10-13 08:00:00;0,33;1,16;0,18;85;504;10;0.721;0.110;0.611;%1.0
2025-10-13 09:00:00;0,33;1,17;0,18;85;506;10;0.719;0.110;0.609;%1.0
2025-10-13 10:00:00;0,33;1,09;0,18;85;459;10;0.725;0.121;0.604;%1.0
2025-10-13 11:00:00;0,33;1,15;0,18;85;494;10;0.714;0.112;0.603;%1.0
2025-10-13 12:00:00;0,33;1,14;0,18;86;487;11;0.722;0.114;0.608;%1.0
2025-10-13 13:00:00;0,33;1,16;0,18;85;503;10;0.719;0.110;0.609;%1.0
2025-10-13 14:00:00;0,33;1,09;0,18;84;464;10;0.735;0.120;0.615;%1.0
2025-10-13 15:00:00;0,33;1,16;0,18;85;504;10;0.724;0.111;0.613;%1.0
2025-10-13 16:00:00;0,33;1,17;0,18;86;506;10;0.715;0.110;0.605;%1.0
